source_id,target_id,relationship,source_url,local_path,sha256
ahc-model,program_medicare-medicaid,belongs_to,https://resdac.org/cms-data/files/ahc-model,data/raw/html/dataset_page/1c35797b5493f4e27d3fcca1632661f8063b4618.html,cc5309cccfb2a3216d4098df2d8a69b69c4efa819f1fbbd5275eb4b7de90610b
ahcah-hospital,program_medicare,belongs_to,https://resdac.org/cms-data/files/ahcah-hospital,data/raw/html/dataset_page/1bc1428ed5b3cd286fd5e01f6f6ec6c9bfcd5ca4.html,0a0362d8b532a312d97a424a24b4daa78c0fa620493e45f58b51d727eaadb53c
ahcah-hospital,ahcah-patient,related_to,https://resdac.org/cms-data/files/ahcah-hospital,data/raw/html/dataset_page/1bc1428ed5b3cd286fd5e01f6f6ec6c9bfcd5ca4.html,0a0362d8b532a312d97a424a24b4daa78c0fa620493e45f58b51d727eaadb53c
ahcah-patient,program_medicare-medicaid,belongs_to,https://resdac.org/cms-data/files/ahcah-patient,data/raw/html/dataset_page/e4e7d441e332e7ddf0868ff151091dc1906c9165.html,bbe71bfcedf37a30f9aefd8e5d51959624dc4a82e1871e25a1954394bba54d77
ahcah-patient,ahcah-hospital,related_to,https://resdac.org/cms-data/files/ahcah-patient,data/raw/html/dataset_page/e4e7d441e332e7ddf0868ff151091dc1906c9165.html,bbe71bfcedf37a30f9aefd8e5d51959624dc4a82e1871e25a1954394bba54d77
cahps,program_medicare,belongs_to,https://resdac.org/cms-data/files/cahps,data/raw/html/dataset_page/4ea2b9eba73e8e42fe95c34773820b28b0ae4def.html,71c68ca0c63a09119578c7650ea37745f0584c870b4d94458d4184062bcdefaa
carrier-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/carrier-encounter,data/raw/html/dataset_page/cd641d32e7c9025a275a13684b1e14a7acc25157.html,05800b273d194ff03339706dbd337c8ca6ed6372bda1676597a6a634d7ac4de2
carrier-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/carrier-encounter?page=1,data/raw/html/dataset_page/3fc3fad128988cbf5f0a1b39005e72e895d911c4.html,dfae934585b530f774aed2df6b415c03f25b6b38b7c373e4b7bb554dee8fe9d4
carrier-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/carrier-ffs,data/raw/html/dataset_page/59d788b5a532d93ac4dca20f9c258cc797fe6cb6.html,32efbe85ff2f074c8c3ef73cdb50d8618f8421b572f5344980d38bb2248a547b
carrier-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/carrier-ffs?page=1,data/raw/html/dataset_page/a0834096ab82dc7c9a202c8f0be41ea79431fc37.html,7b42517083d489aa85f8c1592f840193a690a04c3097df58b231ae3ea4bc6b5b
cec-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/cec-beneficiary,data/raw/html/dataset_page/7ffb06ad7fac8c92018706113a0d19ecec652fb2.html,168285c25cde74965048fee00304c6ef7b20a5d18b0a1e798532873b5cfb7cb4
cec-beneficiary,cec-provider,related_to,https://resdac.org/cms-data/files/cec-beneficiary,data/raw/html/dataset_page/7ffb06ad7fac8c92018706113a0d19ecec652fb2.html,168285c25cde74965048fee00304c6ef7b20a5d18b0a1e798532873b5cfb7cb4
cec-provider,program_medicare,belongs_to,https://resdac.org/cms-data/files/cec-provider,data/raw/html/dataset_page/a1cc7713cc9e8cb23fc129b4faf71274faea54dc.html,8a071e1eeebc48f4d09bd25776dea2ee683afe04a2d97180f35fe88d76e8d875
cec-provider,cec-beneficiary,related_to,https://resdac.org/cms-data/files/cec-provider,data/raw/html/dataset_page/a1cc7713cc9e8cb23fc129b4faf71274faea54dc.html,8a071e1eeebc48f4d09bd25776dea2ee683afe04a2d97180f35fe88d76e8d875
cmds-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmds-beneficiary,data/raw/html/dataset_page/d48a69cecaed5ae7646e6ef39ac98789b97bdbc6.html,df6d842caf59b3d6836f433dc08878bbf4273ea48fe8c933f91a69d1a947c2e1
cmds-beneficiary,cmds-entity,related_to,https://resdac.org/cms-data/files/cmds-beneficiary,data/raw/html/dataset_page/d48a69cecaed5ae7646e6ef39ac98789b97bdbc6.html,df6d842caf59b3d6836f433dc08878bbf4273ea48fe8c933f91a69d1a947c2e1
cmds-entity,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmds-entity,data/raw/html/dataset_page/fe306019948692b5209277e7fd3e0aeb53e463a9.html,2685836e906769b7ccf6179d34af812401af5e316bac75ec74cd745d7e8a15f9
cmds-provider,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmds-provider,data/raw/html/dataset_page/d29088b3a0ca3b7bd57bfb2ce420ed5854cd27de.html,49df17e21e4730dc7204582c4d9f1b15df7e867a928de645319b4ea00bb57f34
cmds-provider,cmds-entity,related_to,https://resdac.org/cms-data/files/cmds-provider,data/raw/html/dataset_page/d29088b3a0ca3b7bd57bfb2ce420ed5854cd27de.html,49df17e21e4730dc7204582c4d9f1b15df7e867a928de645319b4ea00bb57f34
cmmi-model-data-sharing-cmds-model-participation-data-initiative,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative,data/raw/html/dataset_page/384107f331e2563369c38318d900e43172d43a4c.html,10376a299f887cfbb8932699b179b90a8833b76e8263630f3225520016dbf843
dme-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/dme-encounter,data/raw/html/dataset_page/c23fcca164f03a963bd782a88f6ca79ff92aead3.html,e9d90b72b3188a389048a59819259a67eda47196cd75a77cd61a57f3f060ce6f
dme-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/dme-encounter?page=1,data/raw/html/dataset_page/0c2a4f81a325635749c0d9ab9fa80b2ffcc04d1f.html,78389803f7a697fb88432b0c9f26bf26bd89a24c252ba5f9a2676b9ad4381304
dme-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/dme-ffs,data/raw/html/dataset_page/ae362508e5c3cff6613bd82d4092fe9dba589d2c.html,9935834b1eaef3d50c73722a87ff228dca58d6a696e6fe0801816ee4afadff1e
dme-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/dme-ffs?page=1,data/raw/html/dataset_page/73815f5de3bc34dd965c74a2be1645c77b831246.html,2dc7b6ed1bf6ddf72b2c00aa3b8f92dbcbb1ccf40a06d9dbde011660db068df1
hedis-rif,program_medicare,belongs_to,https://resdac.org/cms-data/files/hedis-rif,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,03a390573089d1d08aa40c50f89cca09610928aebdee5fbd32607d4de2dcf052
hedis-rif,hedis-rif-measures,related_to,https://resdac.org/cms-data/files/hedis-rif,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,03a390573089d1d08aa40c50f89cca09610928aebdee5fbd32607d4de2dcf052
hedis-rif,hedis-rif-pcr-measure,related_to,https://resdac.org/cms-data/files/hedis-rif,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,03a390573089d1d08aa40c50f89cca09610928aebdee5fbd32607d4de2dcf052
hedis-rif-measures,program_medicare,belongs_to,https://resdac.org/cms-data/files/hedis-rif-measures,data/raw/html/dataset_page/3f56579b8b9f43846fb5661b62bd296a42d69806.html,7de0b24f6dd9edce458034722ba24dd02d3141dccf1408dcd75e9815803e1f4d
hedis-rif-pcr-measure,program_medicare,belongs_to,https://resdac.org/cms-data/files/hedis-rif-pcr-measure,data/raw/html/dataset_page/21d6d237c32fea07af50f6e40ad3e0e6d3a0d116.html,b5e59232163b96fc9fa3608dcf9df0d0dd92a7fb8e138449e026133a11071a95
hha-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/hha-encounter,data/raw/html/dataset_page/4fb670a23573bd7b0647d6c10fc05a39baf8dff8.html,d6ce87f9c3dbbcfa7adea249305cc94439549359430bbe0744096d59d564c0ca
hha-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/hha-encounter?page=1,data/raw/html/dataset_page/f1a6c0b5003f715077f44fca089117f39ebb832b.html,7789f9b3d20eea65b468b5af8fac9e59ed914ba2c2df534156087be6c9061e67
hha-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/hha-encounter?page=2,data/raw/html/dataset_page/22e3288d3f760638d04abe30249e6d2f960989ad.html,7799d9badf8d9125389e36c2d7c92b01ba70c60e87d3e8780c0a5652e792e936
hha-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/hha-ffs,data/raw/html/dataset_page/8a72c4a9535ffc8f53655841fefcc77eb01cb3b9.html,b938a6cc0bbbcecbcbeec5271173f10ec927ae2433ff18758187320aafc7df4e
