source_id,target_id,relationship,source_url,source_document,page,chunk_id
ahc-model,ahc-model__var__ahc-bene-id,contains,https://resdac.org/cms-data/variables/ahc-beneficiary-identifier,data/raw/html/variable_page/c7b69e2ac1934e621c1b30a851c026f182074065.html,,ahc-model__data-documentation__2617b90539__chunk_2
ahc-model,ahc-model__var__ahc-brdg-org-id,contains,https://resdac.org/cms-data/variables/ahc-bridge-organization-identifier,data/raw/html/variable_page/ad824d7a13797ab6f0df1c358d5d77f835224ac4.html,,ahc-model__data-documentation__2617b90539__chunk_1
ahc-model,ahc-model__var__ahc-brdg-org-state-cd,contains,https://resdac.org/cms-data/variables/ahc-bridge-organization-state,data/raw/html/variable_page/02f173b8e12baec12b11a18543e011720ddc4520.html,,ahc-model__data-documentation__2617b90539__chunk_1
ahc-model,ahc-model__var__ahc-trk-cd,contains,https://resdac.org/cms-data/variables/ahc-assistance-or-alignment-track,data/raw/html/variable_page/38413af19bbb024beabe5f636e0b4cde2814c461.html,,ahc-model__data-documentation__2617b90539__chunk_2
ahc-model,ahc-model__var__bene-age-num,contains,https://resdac.org/cms-data/variables/beneficiary-age-screening,data/raw/html/variable_page/dc45eabaff581b3d04f61a5ae99d8b46fa2a0315.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__bene-birth-dt,contains,https://resdac.org/cms-data/variables/beneficiary-birth-date,data/raw/html/variable_page/f4e4f79d0d6fd0f0e7dd3a226398f98e2dcb2184.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__bene-edctn-cd,contains,https://resdac.org/cms-data/variables/beneficiary-education,data/raw/html/variable_page/6c0cebdfaf51bcc1ef678aec37b28b9d564d8fc2.html,,ahc-model__data-documentation__2617b90539__chunk_1
ahc-model,ahc-model__var__bene-id,contains,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-identifier-0,data/raw/html/variable_page/9efd4e8c601b6393003c97885503f9735cda60b3.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__bene-incm-rng-cd,contains,https://resdac.org/cms-data/variables/beneficiary-income,data/raw/html/variable_page/44168f90741f89a973da341a5d346180d5df072d.html,,ahc-model__data-documentation__2617b90539__chunk_1
ahc-model,ahc-model__var__bene-insrnc-type-cd,contains,https://resdac.org/cms-data/variables/beneficiary-payer-type,data/raw/html/variable_page/ad34201c231ecfa2074b9c1f26cf32ef27afbf15.html,,ahc-model__data-documentation__2617b90539__chunk_1
ahc-model,ahc-model__var__bene-prefrd-lang-txt,contains,https://resdac.org/cms-data/variables/beneficiary-preferred-language,data/raw/html/variable_page/301a121b65b7b3bf74b9bdd4f2098ab856d6f5b5.html,,ahc-model__data-documentation__2617b90539__chunk_1
ahc-model,ahc-model__var__bene-race-ethncty-cd,contains,https://resdac.org/cms-data/variables/beneficiary-race-and-ethnicity,data/raw/html/variable_page/0b3d05cd88ac2a8b64cd8c6a8b04b7e43b87d82f.html,,ahc-model__data-documentation__2617b90539__chunk_1
ahc-model,ahc-model__var__bene-sex-cd,contains,https://resdac.org/cms-data/variables/beneficiary-sex-0,data/raw/html/variable_page/5465625c599eea8f0332d0b2218217c6f95737d1.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__bene-state-cd,contains,https://resdac.org/cms-data/variables/beneficiary-state,data/raw/html/variable_page/f0d4bf50834df16f2e2e9cbd800f221f304737ab.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__bene-zip-cd,contains,https://resdac.org/cms-data/variables/beneficiary-zip-code,data/raw/html/variable_page/8e1b76f49666339f59f5ce1f4f3045f8a83e4460.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__msis-id,contains,https://resdac.org/cms-data/variables/submitting-state-alpha-abbreviation-0,data/raw/html/variable_page/6d19b4a3085fdb0d738c1263cb808689272d1645.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__msis-rfrnc-yr,contains,https://resdac.org/cms-data/files/ahc-model/data-documentation,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,,ahc-model__data-documentation__2617b90539__chunk_0
ahc-model,ahc-model__var__nc-nvgtn-actn-plan-cmplt-sw,contains,https://resdac.org/cms-data/variables/navigation-case-action-plan-complete-indicator,data/raw/html/variable_page/78c44d3d61b9c1b346da33e5a706cf96b013e5ab.html,,ahc-model__data-documentation__2617b90539__chunk_16
ahc-model,ahc-model__var__nc-nvgtn-case-id,contains,https://resdac.org/cms-data/variables/navigation-case-unique-identifier,data/raw/html/variable_page/5241f5fbfdd0e2fee923bd37dc3ad78f08ddab04.html,,ahc-model__data-documentation__2617b90539__chunk_16
ahc-model,ahc-model__var__nc-nvgtn-case-strt-dt,contains,https://resdac.org/cms-data/variables/navigation-case-opt-date,data/raw/html/variable_page/e78e61c9a8466d7e62009730f5dd00eccd9fa29f.html,,ahc-model__data-documentation__2617b90539__chunk_16
ahc-model,ahc-model__var__nc-nvgtn-case-trmntn-dt,contains,https://resdac.org/cms-data/variables/navigation-case-termination-date,data/raw/html/variable_page/e50addc39d86b34be05df95aae97706223ab77a5.html,,ahc-model__data-documentation__2617b90539__chunk_16
ahc-model,ahc-model__var__ne-nvgtr-avg-cntct-mnts-num,contains,https://resdac.org/cms-data/variables/average-duration-successful-contacts-beneficiary,data/raw/html/variable_page/5ca784d5aeca5d35a8edaf16113056f1769139b8.html,,ahc-model__data-documentation__2617b90539__chunk_20
ahc-model,ahc-model__var__ne-nvgtr-cntct-atmpt-num,contains,https://resdac.org/cms-data/variables/number-navigator-attempts-contact-beneficiary-successful-or-not,data/raw/html/variable_page/30e7a1acbaf598b52eb898036fa02b6198cf33d1.html,,ahc-model__data-documentation__2617b90539__chunk_19
ahc-model,ahc-model__var__ne-nvgtr-sucsfl-cntct-num,contains,https://resdac.org/cms-data/variables/number-navigator-successful-contacts-beneficiary,data/raw/html/variable_page/f26ab47aeb2957b24b61ca04b6d3cc4ee4c1759a.html,,ahc-model__data-documentation__2617b90539__chunk_20
ahc-model,ahc-model__var__nn-core-1-cncted-to-csp-sw,contains,https://resdac.org/cms-data/variables/least-1-core-hrsn-connected-csp-none-resolved,data/raw/html/variable_page/cfbfa96514d046e470f4a7c9716da35b8400903f.html,,ahc-model__data-documentation__2617b90539__chunk_20
ahc-model,ahc-model__var__nn-core-1-rslvd-sw,contains,https://resdac.org/cms-data/variables/least-1-core-hrsn-resolved,data/raw/html/variable_page/7804e937d87b8f0ce765fa9f7456badb2fa0a9db.html,,ahc-model__data-documentation__2617b90539__chunk_20
ahc-model,ahc-model__var__nn-core-all-cncted-to-csp-sw,contains,https://resdac.org/cms-data/variables/all-core-hrsns-connected-csp,data/raw/html/variable_page/2678bb8c999e7bbacca83d72143f79610c092ef9.html,,ahc-model__data-documentation__2617b90539__chunk_21
ahc-model,ahc-model__var__nn-core-all-csp-unavlbl-sw,contains,https://resdac.org/cms-data/variables/all-core-hrsns-csp-unavailable-or-unable-help,data/raw/html/variable_page/be1e0577b0e19b8201e53e9f5567aa4c2d55ee81.html,,ahc-model__data-documentation__2617b90539__chunk_21
ahc-model,ahc-model__var__nn-core-all-optout-nvgtn-sw,contains,https://resdac.org/cms-data/variables/all-core-hrsns-opted-out-further-navigation-services,data/raw/html/variable_page/8cf3b9e5126debad958e30c982a91512fc2df679.html,,ahc-model__data-documentation__2617b90539__chunk_21
ahc-model,ahc-model__var__nn-core-all-outcm-unk-sw,contains,https://resdac.org/cms-data/variables/all-core-hrsns-outcome-unknown,data/raw/html/variable_page/5c08c8e22af3c181f70b1989897003806163c52f.html,,ahc-model__data-documentation__2617b90539__chunk_21
ahc-model,ahc-model__var__nn-core-all-outrch-atmpt-fail-sw,contains,https://resdac.org/cms-data/variables/all-core-hrsns-attempt-reach-failed,data/raw/html/variable_page/e1ff9494bc5ce9783d4cdd36e30663ec5406bf1c.html,,ahc-model__data-documentation__2617b90539__chunk_21
ahc-model,ahc-model__var__nn-core-all-rslvd-sw,contains,https://resdac.org/cms-data/variables/all-core-hrsns-resolved,data/raw/html/variable_page/e8328f7330c375e1cde56abcd9074ab014008b94.html,,ahc-model__data-documentation__2617b90539__chunk_20
ahc-model,ahc-model__var__nn-core-food-cnct-csp-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-food-connected-community-service-provider,data/raw/html/variable_page/13eed81577c842a6388e637bb45c67bdb4d6df53.html,,ahc-model__data-documentation__2617b90539__chunk_22
ahc-model,ahc-model__var__nn-core-food-cntct-fail-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-food-attempts-reach-failed,data/raw/html/variable_page/491b25793c2241bfa4702b159aa4d0649f05e396.html,,ahc-model__data-documentation__2617b90539__chunk_22
ahc-model,ahc-model__var__nn-core-food-csp-unavbl-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-food-community-service-provider-unable-help,data/raw/html/variable_page/0d3e6bf811e58cb36fd10a5fa033da18282e3c19.html,,ahc-model__data-documentation__2617b90539__chunk_23
ahc-model,ahc-model__var__nn-core-food-optout-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-food-opted-out,data/raw/html/variable_page/4c492ce4e9b4542192f1326a8f9d2cbd89931414.html,,ahc-model__data-documentation__2617b90539__chunk_22
ahc-model,ahc-model__var__nn-core-food-outcm-unk-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-food-outcome-unknown,data/raw/html/variable_page/26e487290757357605706dc8070df6ffe513ec97.html,,ahc-model__data-documentation__2617b90539__chunk_23
ahc-model,ahc-model__var__nn-core-food-rslvd-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-food-resolved,data/raw/html/variable_page/1ac7d44579eb8944afcc36a68c12f6e42d8c42bf.html,,ahc-model__data-documentation__2617b90539__chunk_22
ahc-model,ahc-model__var__nn-core-housng-cnct-csp-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-housing-connected-community-service-provider,data/raw/html/variable_page/f4dd4b4bc8cdde5b358d7487959a2e67d520f98f.html,,ahc-model__data-documentation__2617b90539__chunk_23
ahc-model,ahc-model__var__nn-core-housng-cntct-fail-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-housing-attempts-reach-failed,data/raw/html/variable_page/fe9e37f78f0555a57a7d905ecec9819d9c125ae2.html,,ahc-model__data-documentation__2617b90539__chunk_24
ahc-model,ahc-model__var__nn-core-housng-csp-unavbl-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-housing-community-service-provider-unable-help,data/raw/html/variable_page/de59f9bebf6344ca52dc0a8e58eba32a459d5375.html,,ahc-model__data-documentation__2617b90539__chunk_24
ahc-model,ahc-model__var__nn-core-housng-optout-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-housing-opted-out,data/raw/html/variable_page/ee7da4ea3f966b0e326041a6b27b6d0148a30fe8.html,,ahc-model__data-documentation__2617b90539__chunk_23
ahc-model,ahc-model__var__nn-core-housng-outcm-unk-sw,contains,https://resdac.org/cms-data/variables/navigated-core-hrsn-housing-outcome-unknown,data/raw/html/variable_page/45ce020f484c1489a8371ee99ab771ed743f5365.html,,ahc-model__data-documentation__2617b90539__chunk_24
