dataset_id,name,program,category,availability,source_url,local_path,sha256,extraction_notes
ahc-model,Accountable Health Communities Model,"Medicare, Medicaid",Special Programs,May 2018-April 2023,https://resdac.org/cms-data/files/ahc-model,data/raw/html/dataset_page/1c35797b5493f4e27d3fcca1632661f8063b4618.html,5da2338b935c0279d1480bebd0478b04b72299bf00cd7af62f1da23861e2a29a,
ahcah-hospital,Acute Hospital Care at Home - Hospital,Medicare,Special Programs,Release 1: November 2020-March 2023Release 2: April 2023-September 2025,https://resdac.org/cms-data/files/ahcah-hospital,data/raw/html/dataset_page/1bc1428ed5b3cd286fd5e01f6f6ec6c9bfcd5ca4.html,9a33cbe27c07b40f205c89f73bce5986128c666baba2f21d5fd1bca045ca9cc5,
ahcah-patient,Acute Hospital Care at Home - Patient,"Medicare, Medicaid",Special Programs,Release 1: November 2020-March 2023Release 2: April 2023-September 2025,https://resdac.org/cms-data/files/ahcah-patient,data/raw/html/dataset_page/e4e7d441e332e7ddf0868ff151091dc1906c9165.html,51445e7bd0ee2e59ba350b59cffe27bcea7a81e921efb7787a62b363653ed7e2,
cahps,Consumer Assessment of Healthcare Providers & Systems,Medicare,Survey,2015-20192021-2025,https://resdac.org/cms-data/files/cahps,data/raw/html/dataset_page/4ea2b9eba73e8e42fe95c34773820b28b0ae4def.html,aa2b25d6ea41a2ed3ef8409718ae043787b39c65bdda7dcf45c508409a71184a,
carrier-encounter,Encounter Carrier,Medicare,Medicare Encounter,2015-2023Preliminary 2024,https://resdac.org/cms-data/files/carrier-encounter?page=1,data/raw/html/dataset_page/3fc3fad128988cbf5f0a1b39005e72e895d911c4.html,2610215fce91c1390ea72171ddade8b97bcf376a34d64a0247d16e326bfabf9e,
carrier-ffs,Original Medicare (Fee-for-Service) Carrier,Medicare,Medicare Fee-For-Service Claims,Annual: 1999-2024Quarterly: 2024 Q1-Q4; 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/carrier-ffs?page=1,data/raw/html/dataset_page/a0834096ab82dc7c9a202c8f0be41ea79431fc37.html,1ae7963b17b281473259cfaf8d7cc2b94dcbeefbac907c5d1c018835a8bc9313,
cec-beneficiary,Comprehensive ESRD Care Model - Beneficiary,Medicare,Beneficiary Enrollment and Summary,October 2015-2020,https://resdac.org/cms-data/files/cec-beneficiary,data/raw/html/dataset_page/7ffb06ad7fac8c92018706113a0d19ecec652fb2.html,b826b18ee7023acc7c535c3f261e7a8a1c514572e0c7dc13178a95f8ccacacce,
cec-provider,Comprehensive ESRD Care Model - Provider,Medicare,Plan and Provider,October 2015-2020,https://resdac.org/cms-data/files/cec-provider,data/raw/html/dataset_page/a1cc7713cc9e8cb23fc129b4faf71274faea54dc.html,ee651efd8e0496a2d2e10851dce9acc11e3af61b260c722a4308aa87fb84d52b,
cmds-beneficiary,CMMI Model Data Sharing Beneficiary,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmds-beneficiary,data/raw/html/dataset_page/d48a69cecaed5ae7646e6ef39ac98789b97bdbc6.html,801f9902ffa339193fcca8b49bad91c383518edbc88dd811d11aafe1ebd11879,
cmds-entity,CMMI Model Data Sharing Entity,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmds-entity,data/raw/html/dataset_page/fe306019948692b5209277e7fd3e0aeb53e463a9.html,54508d798e6d0465e4cd1d8ac3f22703aaa9e546d2314020deb2b12b95664ce1,
cmds-provider,CMMI Model Data Sharing Provider,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmds-provider,data/raw/html/dataset_page/d29088b3a0ca3b7bd57bfb2ce420ed5854cd27de.html,af8a720f189eba991aa35e6ddeb82acf47b169fddbe275f895dc22610be376c4,
cmmi-model-data-sharing-cmds-model-participation-data-initiative,CMMI Model Data Sharing (CMDS) Model Participation Data Initiative,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative,data/raw/html/dataset_page/384107f331e2563369c38318d900e43172d43a4c.html,601f1bb9502225c0080f49d5d85e45939571e0290468f24d48e98913deea3059,
dme-encounter,Encounter Durable Medical Equipment,Medicare,Medicare Encounter,2015-2023Preliminary 2024,https://resdac.org/cms-data/files/dme-encounter?page=1,data/raw/html/dataset_page/0c2a4f81a325635749c0d9ab9fa80b2ffcc04d1f.html,f21b2a327fdfb59867baff85245829a24a9d4190d2b405234547fbec70313fc1,
dme-ffs,Original Medicare (Fee-for-Service) Durable Medical Equipment,Medicare,Medicare Fee-For-Service Claims,Annual: 1999-2024Quarterly: 2024 Q1-Q4; 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/dme-ffs?page=1,data/raw/html/dataset_page/73815f5de3bc34dd965c74a2be1645c77b831246.html,5ae2badba3662132d10a95493fc4675f0e428535173b6fd7c9218c95f86be3f7,
hedis-rif,Healthcare Effectiveness Data and Information Set (HEDIS),Medicare,"Beneficiary Enrollment and Summary, Plan and Provider",2015-2021**,https://resdac.org/cms-data/files/hedis-rif,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,487ae2738e5ebfee8b5bd8b5f73c1afb3959e9c5f262554fbe862408c2674d2a,
hedis-rif-measures,Healthcare Effectiveness Data and Information Set (HEDIS) File 1: Measures File (does not include Plan All-Cause Readmission measure),Medicare,"Beneficiary Enrollment and Summary, Plan and Provider",2015-2021**,https://resdac.org/cms-data/files/hedis-rif-measures,data/raw/html/dataset_page/3f56579b8b9f43846fb5661b62bd296a42d69806.html,1af8a09f7524e453254a1675a5724c68544fdaffc98323eb5485ae9fb1511a06,
hedis-rif-pcr-measure,Healthcare Effectiveness Data and Information Set (HEDIS) File 2: Plan All-Cause Readmission (PCR) Measure,Medicare,"Beneficiary Enrollment and Summary, Plan and Provider",2015-2021**,https://resdac.org/cms-data/files/hedis-rif-pcr-measure,data/raw/html/dataset_page/21d6d237c32fea07af50f6e40ad3e0e6d3a0d116.html,394409a819339b76284134c405dc1c0586bdbad218857378cc3af4efaa3756ba,
hha-encounter,Encounter Home Health Agency,Medicare,Medicare Encounter,2015-2023Preliminary 2024,https://resdac.org/cms-data/files/hha-encounter?page=2,data/raw/html/dataset_page/22e3288d3f760638d04abe30249e6d2f960989ad.html,86e8a2ac09d4a5ba98480cf87c262f1c5844382095def57ac9cced57e9232a28,
hha-ffs,Original Medicare (Fee-for-Service) Home Health Agency,Medicare,Medicare Fee-For-Service Claims,Annual: 1999-2024Quarterly: 2024 Q1-Q4; 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/hha-ffs?page=1,data/raw/html/dataset_page/8f78db76414be1060cc9feced2e94189785a9386.html,fd278f8099ed751022932c29a282c164378f44d002e790959f9e186fb40ce608,
hos-rif,Health Outcomes Survey,Medicare,Survey,Cohort 18 (2015-2017) - Cohort 25 (2022-2024),https://resdac.org/cms-data/files/hos-rif,data/raw/html/dataset_page/3a2d6aac3217a98f46050a67c7808ce6efaf14ee.html,55bf867c853a5a8e110320701978597965f0a9a48144cb46a6a9e9c1d05576ae,
hospice-ffs,Original Medicare (Fee-for-Service) Hospice,Medicare,Medicare Fee-For-Service Claims,Annual: 1999-2024Quarterly: 2024 Q1-Q4; 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/hospice-ffs?page=1,data/raw/html/dataset_page/dbaf3aed47201c3fc4db788b6db09a84cd3fe53c.html,adb76344d01fab232e7d10a73b86146fdee5c75c3bf9b21fd780ced3d0ea04ce,
hrs-medicare,Health and Retirement Survey - Medicare Linked Data,Medicare,"Linked, Survey",CY 1991-2015,https://resdac.org/cms-data/files/hrs-medicare,data/raw/html/dataset_page/56f0128f13eefc2a0c19fceb47f11980630a1d88.html,72fc6a7057ba4b3f5323dd660d4bee0d438f4f3681f81b237367c1bfff709320,
ip-encounter,Encounter Inpatient,Medicare,Medicare Encounter,2015-2023Preliminary 2024,https://resdac.org/cms-data/files/ip-encounter?page=1,data/raw/html/dataset_page/e5f45c1825ba4b2fabf81ff96515fb26076640eb.html,7f9e03700a763a031c2730d74d4f0044bab32b1ae4bf1914bfb43b5fbcf7304f,
ip-ffs,Original Medicare (Fee-for-Service) Inpatient,Medicare,Medicare Fee-For-Service Claims,Annual: 1999-2024Quarterly: 2024 Q1-Q4; 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/ip-ffs?page=1,data/raw/html/dataset_page/5e06938543c28635217c25080fa7c1e2252f9b43.html,220938f49721513ed7147d1cf9d21c9d905e77ed7d576d9f4d0c797008391948,
irf-pai,Inpatient Rehab Facility-Patient Assessment Instrument,Medicare,Assessment,Annual: 2002-2024Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/irf-pai?page=1,data/raw/html/dataset_page/2531c97864d9977f43f254931709dac5933f2a23.html,3c04e29b2dbb742375ca6d2c13775ad29f56ad8379bdccf11786b8a496d4bc6e,
kcc-beneficiary,Kidney Care Choices Model Alignment Beneficiary,Medicare,Special Programs,2022,https://resdac.org/cms-data/files/kcc-beneficiary,data/raw/html/dataset_page/c82b4d408518dc96fdf46a27f4e49158e8e95041.html,5093d001243b23b8706afac585754e4ebf3d6557cc7e92572f9b005500ee5e65,
