document_id,dataset_id,title,document_kind,source_url,local_path,sha256,content_type,extraction_notes
ahc-model__data-documentation__2617b90539,ahc-model,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahc-model/data-documentation,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,fa282c1e1e475760535d88676ced2551a04d3b5ce83f42eb9231f69cc14fdec2,text/html,
ahcah-hospital__data-documentation__4c60fb8567,ahcah-hospital,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahcah-hospital/data-documentation,data/raw/html/documentation_page/4c60fb85674dcfcd2336e84b45f08d6218aa76fa.html,847a0ea3ec5cc9bda5df591de1a6a7e692f26887d3d959a8e52fc6788f8bccd9,text/html,
ahcah-patient__data-documentation__995bd91472,ahcah-patient,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahcah-patient/data-documentation,data/raw/html/documentation_page/995bd914721a5979423878bb7fe55e7b1d831074.html,79fa72b06eed6d0b155fc3a69862aa065979aea8f8120f768732de8b84a00fa9,text/html,
cahps__data-documentation__3570c4650b,cahps,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cahps/data-documentation,data/raw/html/documentation_page/3570c4650bdf156c15f0805bed8e74399f214473.html,63e40f469cc546cd542bf6a387a7c157262e67d5e5c519178d24c07a652294fd,text/html,
carrier-encounter__data-documentation__fdf41704a5,carrier-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/carrier-encounter/data-documentation,data/raw/html/documentation_page/fdf41704a5479014ec2f0e238069edc3892c6599.html,b7990e9f270c30ed671c2e569bacfd3726bd0f81b7ef1a797a5a5574d4dba274,text/html,
carrier-ffs__data-documentation__1d94647469,carrier-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/carrier-ffs/data-documentation,data/raw/html/documentation_page/1d94647469e83d6f113be85ff63b3d64ecbcd28d.html,db2441c078bba744b7086a143e18937267f6dfbf5cda7fc2c1352e28dbb766bb,text/html,
cec-beneficiary__data-documentation__6a4e4b6ab9,cec-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cec-beneficiary/data-documentation,data/raw/html/documentation_page/6a4e4b6ab99daec6c86987e9164315c75ef600dc.html,fa8a4548380677362947be94b9ce9bac40657e8d139f9bdcf6e751dc192fa84e,text/html,
cec-provider__data-documentation__e5123a1795,cec-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cec-provider/data-documentation,data/raw/html/documentation_page/e5123a1795316feb41120271adc8af7000686d48.html,e733281b21db5541b923f685ab7860fae937c43d49e1cd6349c9c38ba12c355f,text/html,
cmds-beneficiary__data-documentation__8b95768716,cmds-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-beneficiary/data-documentation,data/raw/html/documentation_page/8b957687160967ef616f1811d2948a4aa4fdbf19.html,44d070f25122afb6accf489c0c3f7c6dfbd5f54f3f4de2a7078181b48d098163,text/html,
cmds-entity__data-documentation__2e5244efce,cmds-entity,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-entity/data-documentation,data/raw/html/documentation_page/2e5244efce0233d468ea48269e61eadb991d0170.html,a09539fde7b68e6b7ad05d3fc0714ca6587377b71b66d16ba368e1b9815a87a2,text/html,
