variable_id,variable_name,dataset_id,definition,aliases,years,source_document,source_url,page,chunk_id,extraction_notes
ahc-model__var__ahc-bene-id,AHC_BENE_ID,ahc-model,AHC Beneficiary Identifier,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_2,
ahc-model__var__ahc-brdg-org-id,AHC_BRDG_ORG_ID,ahc-model,AHC Bridge Organization Identifier,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_1,
ahc-model__var__ahc-brdg-org-state-cd,AHC_BRDG_ORG_STATE_CD,ahc-model,AHC Bridge Organization State,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_1,
ahc-model__var__ahc-trk-cd,AHC_TRK_CD,ahc-model,AHC Assistance or Alignment Track,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_2,
ahc-model__var__bene-age-num,BENE_AGE_NUM,ahc-model,Beneficiary Age at Screening,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
ahc-model__var__bene-birth-dt,BENE_BIRTH_DT,ahc-model,Beneficiary Birth Date,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
ahc-model__var__bene-edctn-cd,BENE_EDCTN_CD,ahc-model,Beneficiary Education,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_1,
ahc-model__var__bene-id,BENE_ID,ahc-model,Encrypted CCW Beneficiary Identifier,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
ahc-model__var__bene-incm-rng-cd,BENE_INCM_RNG_CD,ahc-model,Beneficiary Income,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_1,
ahc-model__var__bene-insrnc-type-cd,BENE_INSRNC_TYPE_CD,ahc-model,Beneficiary Payer Type,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_1,
ahc-model__var__bene-prefrd-lang-txt,BENE_PREFRD_LANG_TXT,ahc-model,Beneficiary Preferred Language,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_1,
ahc-model__var__bene-race-ethncty-cd,BENE_RACE_ETHNCTY_CD,ahc-model,Beneficiary Race and Ethnicity,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_1,
ahc-model__var__bene-sex-cd,BENE_SEX_CD,ahc-model,Beneficiary Sex,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
ahc-model__var__bene-state-cd,BENE_STATE_CD,ahc-model,Beneficiary State,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
ahc-model__var__bene-zip-cd,BENE_ZIP_CD,ahc-model,Beneficiary Zip Code,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
ahc-model__var__msis-id,MSIS_ID,ahc-model,Encrypted Medicaid State Assigned Beneficiary Unique Identifier,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
ahc-model__var__msis-rfrnc-yr,MSIS_RFRNC_YR,ahc-model,Medicaid Beneficiary Identifier Reference Year,,,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,https://resdac.org/cms-data/files/ahc-model/data-documentation,,ahc-model__data-documentation__2617b90539__chunk_0,
